epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.68846,1.73208,3.84436,1.33925,0.00386,0.66667,0.01014,0.00365,1.24704,3.59217,1.11712,6.668e-05,6.668e-05,6.668e-05
2,5.047,1.57528,3.62198,1.2963,0.00413,0.70119,0.01848,0.0073,1.66978,3.54628,1.21556,0.000148545,0.000148545,0.000148545
3,6.416,1.48499,2.52128,1.20677,0.00412,0.75476,0.09041,0.04796,1.38536,3.17465,1.13682,0.000228759,0.000228759,0.000228759
4,7.74965,1.44894,1.67818,1.17991,0.00464,0.85952,0.25419,0.14613,1.41129,3.01897,1.0515,0.000307323,0.000307323,0.000307323
5,9.05319,1.40256,1.48367,1.12339,0.0049,0.9119,0.30574,0.20134,1.39346,3.03569,1.03803,0.000384237,0.000384237,0.000384237
6,11.2371,1.30958,1.35637,1.13278,0.00449,0.85833,0.34522,0.24759,1.37065,2.89083,1.07542,0.0004595,0.0004595,0.0004595
7,13.2688,1.38697,1.31772,1.13798,0.0042,0.80476,0.38642,0.28787,1.38708,2.92082,1.09004,0.000533113,0.000533113,0.000533113
8,14.9319,1.34084,1.2531,1.10612,0.00498,0.94762,0.40811,0.27044,1.37489,2.93181,1.14541,0.000605076,0.000605076,0.000605076
9,16.2234,1.39234,1.25412,1.10912,0.58929,0.11826,0.42887,0.28267,1.48509,2.8427,1.09895,0.000675388,0.000675388,0.000675388
10,17.4731,1.34742,1.16884,1.07954,0.0048,0.91429,0.28223,0.20994,1.56904,3.0078,1.204,0.00074405,0.00074405,0.00074405
11,18.6856,1.34937,1.18852,1.08989,0.01129,0.87857,0.28818,0.20458,1.42967,2.8912,1.1389,0.000811062,0.000811062,0.000811062
12,19.9371,1.30562,1.2141,1.12107,0.70914,0.34405,0.43177,0.28583,1.34382,2.70975,1.07189,0.000876424,0.000876424,0.000876424
13,21.1659,1.24841,1.15802,1.07642,1,0.15986,0.56259,0.3628,1.38698,2.40535,1.11603,0.000940135,0.000940135,0.000940135
14,22.5534,1.26321,1.14051,1.07624,1,0.15568,0.6191,0.43431,1.37908,2.44069,1.14148,0.0010022,0.0010022,0.0010022
15,23.7913,1.26826,1.124,1.04887,1,0.21458,0.59259,0.41774,1.31508,2.3867,1.1622,0.00106261,0.00106261,0.00106261
16,25.6198,1.25212,1.098,1.07299,0.91054,0.27239,0.57224,0.37355,1.49654,2.35025,1.26809,0.00112137,0.00112137,0.00112137
17,27.5954,1.28346,1.1025,1.0636,0.56504,0.42857,0.55579,0.36887,1.49483,2.23365,1.35961,0.00117848,0.00117848,0.00117848
18,29.63,1.26941,1.064,1.055,0.59831,0.7145,0.68291,0.40509,1.43726,1.83377,1.28584,0.00123394,0.00123394,0.00123394
19,30.9085,1.23857,1.021,1.04753,0.67326,0.71915,0.72061,0.45898,1.36764,1.6488,1.26864,0.00128774,0.00128774,0.00128774
20,32.3788,1.25092,1.06955,1.06087,0.59509,0.72212,0.64332,0.41935,1.49652,1.65245,1.30999,0.0013399,0.0013399,0.0013399
21,33.594,1.25679,1.09582,1.07451,0.69326,0.75238,0.72254,0.4589,1.36127,1.3149,1.21102,0.00133693,0.00133693,0.00133693
22,34.7933,1.2365,1.0075,1.0574,0.7782,0.71011,0.70278,0.45877,1.43245,1.29491,1.34932,0.00132043,0.00132043,0.00132043
23,35.9815,1.19878,1.00143,1.03361,0.71486,0.60833,0.69348,0.44638,1.4239,1.30523,1.25127,0.00130393,0.00130393,0.00130393
24,37.1571,1.24379,0.9691,1.05589,0.6933,0.69762,0.68333,0.452,1.35675,1.16931,1.16911,0.00128742,0.00128742,0.00128742
25,38.339,1.22627,1.00994,1.06119,0.72049,0.70804,0.70404,0.45421,1.42422,1.14862,1.246,0.00127092,0.00127092,0.00127092
26,40.0882,1.2048,1.02155,1.0413,0.80651,0.62712,0.70478,0.44856,1.33369,1.34466,1.08272,0.00125442,0.00125442,0.00125442
27,42.2222,1.21718,0.97153,1.00294,0.87342,0.72204,0.81006,0.49626,1.25605,1.1336,1.04294,0.00123791,0.00123791,0.00123791
28,44.3674,1.20016,1.0048,1.05963,0.73703,0.85759,0.82482,0.5335,1.21629,1.05157,1.04892,0.00122141,0.00122141,0.00122141
29,45.7012,1.24282,1.01,1.0489,0.77492,0.73333,0.77365,0.51851,1.2772,1.08648,1.08911,0.00120491,0.00120491,0.00120491
30,46.9348,1.23647,0.96533,1.04508,0.81197,0.71548,0.76289,0.50292,1.28121,1.01367,1.09727,0.0011884,0.0011884,0.0011884
31,48.1006,1.19697,0.9534,1.03216,0.79918,0.75796,0.7912,0.51486,1.28847,0.99195,1.11823,0.0011719,0.0011719,0.0011719
32,49.293,1.12175,0.92264,1.01553,0.81109,0.71393,0.77767,0.49637,1.21405,1.02475,1.06586,0.0011554,0.0011554,0.0011554
33,50.4628,1.13982,0.90252,1.00862,0.83082,0.7881,0.79902,0.49615,1.14081,0.96511,1.05724,0.00113889,0.00113889,0.00113889
34,51.8372,1.12531,0.89431,1.04348,0.75436,0.84167,0.8242,0.52911,1.17177,0.89423,1.0711,0.00112239,0.00112239,0.00112239
35,53.5297,1.12072,0.89195,1.01742,0.89633,0.69762,0.82273,0.54493,1.15517,0.8336,1.05498,0.00110589,0.00110589,0.00110589
36,54.9129,1.18967,0.94046,1.05312,0.82518,0.75,0.83999,0.57025,1.17515,0.80781,1.04386,0.00108938,0.00108938,0.00108938
37,56.8833,1.12419,0.87992,1.02325,0.77032,0.83929,0.82596,0.55503,1.16361,0.82855,1.04404,0.00107288,0.00107288,0.00107288
38,58.8892,1.06532,0.84998,0.99923,0.76332,0.80357,0.80147,0.55836,1.21291,0.86355,1.05336,0.00105638,0.00105638,0.00105638
39,60.3243,1.17074,0.89496,1.03442,0.77442,0.80357,0.82365,0.57378,1.17633,0.89155,1.04845,0.00103987,0.00103987,0.00103987
40,61.6196,1.15838,0.87782,1.01732,0.76461,0.76786,0.83679,0.55407,1.21491,0.90286,1.03739,0.00102337,0.00102337,0.00102337
41,62.8335,1.14303,0.88038,1.01528,0.7389,0.78571,0.80266,0.52669,1.2413,0.96689,1.06319,0.00100687,0.00100687,0.00100687
42,64.0883,1.08052,0.85876,1.00822,0.82977,0.83929,0.84428,0.55597,1.16663,0.836,1.06224,0.000990365,0.000990365,0.000990365
43,65.2812,1.07191,0.84554,0.98279,0.85853,0.7869,0.84122,0.58068,1.1332,0.80805,1.06034,0.000973861,0.000973861,0.000973861
44,66.5807,1.07055,0.83851,0.977,0.71403,0.83101,0.73955,0.49174,1.17606,0.84584,1.05111,0.000957358,0.000957358,0.000957358
45,67.7793,1.11926,0.87525,1.00862,0.75278,0.83738,0.73838,0.49645,1.205,0.86219,1.07788,0.000940855,0.000940855,0.000940855
46,69.2964,1.10209,0.89481,1.00569,0.74162,0.73214,0.67168,0.43926,1.33899,0.89394,1.16205,0.000924352,0.000924352,0.000924352
47,70.948,1.09684,0.84427,0.98387,0.81018,0.76786,0.76321,0.48371,1.24823,0.87753,1.08424,0.000907848,0.000907848,0.000907848
48,72.6636,1.08629,0.81759,0.98287,0.91281,0.82143,0.8418,0.52774,1.18417,0.84002,1.05584,0.000891345,0.000891345,0.000891345
49,74.8488,1.10107,0.80728,0.98919,0.95395,0.85714,0.87265,0.57821,1.18957,0.80851,1.05773,0.000874842,0.000874842,0.000874842
50,76.4434,1.08416,0.79531,0.99488,0.88182,0.78571,0.84258,0.55378,1.17645,0.82377,1.04468,0.000858338,0.000858338,0.000858338
51,77.6641,1.07275,0.80793,0.99057,0.89021,0.79841,0.85567,0.57405,1.16543,0.80564,1.02458,0.000841835,0.000841835,0.000841835
52,78.9155,0.98323,0.77316,0.96845,0.91962,0.83396,0.88569,0.59853,1.10779,0.73209,1.00956,0.000825332,0.000825332,0.000825332
